platform,app,app_id,play_store_url,review_id,user_name,rating,text,language,date,thumbs_up,replied
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,67c41ccd-320c-46fd-a1be-db44828a332c,hmada sabry,1,اغلب الوقت مايفتح التطبيق جدا سئ,ar,2026-07-01 13:28:36,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,96dc54c5-3aa4-4d6b-b10f-5aa714ae8f15,ابو ابراهيم,5,ممتاذ,ar,2026-07-01 08:28:43,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,08157d7c-b99f-4108-9b9c-c9f40f502238,ابراهيم البشري,5,ممتاز فتح تطبيق لانماء,ar,2026-07-01 06:09:41,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,c03fc43a-99cb-4cd5-b20b-495ce87b2868,سوامت Ww,5,حلو,ar,2026-07-01 04:31:38,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,6c992af4-5399-4af7-9608-7a9adb295f7d,عيسى عيسى,1,والله تثبيت الانماء مرض احول 20 ريال من حسابي من حسابي بنك ثاني الى حساب الانماء يحضروني شغالين تبع الانماء الامراض,ar,2026-07-01 03:23:32,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,edb8a902-88af-4eaa-9f2d-0abe1c31f763,mona jonaidl,1,النسخه الجديده لاتعمل والنظام يخرجني كل مره,ar,2026-07-01 01:50:04,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,aba32228-ed3a-4c35-9fd2-a40cc8475f59,ياسر باشه,5,ممتاز,ar,2026-07-01 00:56:38,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,86518746-18cd-4fde-8e41-eb0f5d984cab,محمد الزمزمي,5,جدا رائع,ar,2026-06-30 20:54:18,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,3d5bdace-0084-4455-86d9-a7db5a1a6e57,أبو معاذ,1,التطبيق يخرجني تظهر ملاحظة متطلبات الحماية الخاصة بك لا تتوافق ... ثاني شيء والله أتحدى إذا تقييمكم 4.7 لأن خدمات بهذا السوء مستحيل أحد يقييمها تقييم عال,ar,2026-06-30 17:38:10,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,62308ad9-439d-4c06-890f-ef91063940a0,ابوسارة الغامدي,1,بعد فتح الحساب و طلب توصيل بطاقة صراف الى منزلي الى هنا خدمه ممتاز ، لكن بعد ذالك لم استفيد من بطاقة الصراف ولا من خدمات تطبيق الانماء ابدا .,ar,2026-06-30 16:03:40,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,f9f4feab-b3b0-4544-b2b0-2b80be70d7fc,O* Q,1,رافض يفتح التطبيق,ar,2026-06-30 13:49:49,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,82b711ce-7ae0-44d2-9ff7-808c1d69d2f5,يوسف الدقير,2,تجربتي سئية مع بنك الانماء... لم استطع فتح حساب اولاين ...وياتيك الرد توجة لاقرب فرع. وللاسف رحت اقرب فرع..المؤظف بكل برود ...فتح حساب اولاين ...ما عندنا فتح حساب في الفرع......في حين انو الفرع فاضي ...حاولت اقنعة اني اوجة مشكله. ولكن لا حياة لمن تنادي ... خرجت منه اجرر اذيال الخيبه.. وتواصلت على الايميل الى الان لم ياتي الرد.,ar,2026-06-30 13:36:12,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,dcfca1e9-347b-41aa-87e2-8fcc6c7335d3,Asem Mahdi,1,خدمه العملاء لا تتجاوب حسابي لم استطيع تسجيل الدخول واتواصل بخدمه العملاء مافي رد لا اتصال ولا ايميل ولافي اصلا في الرقم المجاني ما تقدر توصل على موظف تكلمه ايش المشكله نأمل الاجابه,ar,2026-06-30 11:15:39,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,a4486a8d-0ab5-45b8-8a3a-760b4b50628e,tmim mohamed,5,رائعة,ar,2026-06-30 01:44:34,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,ecc4229a-7e2b-4839-ade4-ded59d1d7884,علي ابو احمد,5,اعجبني,ar,2026-06-30 01:35:47,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,dcbbe298-cd4b-4049-98ac-a1917b0490e2,يونس الاسلمي,5,ممتاز,ar,2026-06-30 00:52:54,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,f9542e42-82ca-4f94-bb46-a68cbf239ac9,أكرم المغربي,5,ممتاز جدا,ar,2026-06-29 18:22:35,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,dde5cc8d-dbff-4e06-b8c2-465f596a0418,نبيل المناري,5,ممتاز جدآ,ar,2026-06-29 09:50:21,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,21cc8370-3d28-42bf-809a-4166b0d7e24c,Mahmoud abd.elaziz,5,جيد جدا,ar,2026-06-28 19:45:23,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,bf4308a0-0ff1-4cbf-aa78-b975ca56b532,أبو محمد اليماني,4,👍👍👍,ar,2026-06-28 18:55:53,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,0c20ac5e-e5e2-4bca-8da2-51816e13ffe8,فارس القادري,1,السلام عليكم نرجو منكم مرجعت التطبيق في اليمن لا يفتح وهذا مشكله الواحد وده فلوس كيف يسوي,ar,2026-06-28 17:30:23,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,70d3a1dc-0091-4cbb-a7dd-b6e673a7b039,استغفر الله,1,التطبيق ادخل البيانات صح يرفض يدخل,ar,2026-06-28 05:55:28,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,01358cc9-6061-4b61-a2f2-98ea90206963,حمد الواصل,1,لا أستطيع الدخول على برنامج الإنماء من يوم الجمعة . هل توجد مشكلة في النظام,ar,2026-06-27 23:24:01,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,784c7d4d-a82e-4faf-aac0-20d59efaf025,حذيفه النجار,1,التطبيق لايعمل يقول حدث خطاء في المحاوله,ar,2026-06-27 22:41:03,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,6bee4d01-9c77-4876-888a-38bf68ae9a99,محمد الشريف,5,تطبيق لا يعمل ولافتح معي وتظهر لي رساله حدث خطاء أثناء استرداد البيانات وأنا في اليمن,ar,2026-06-27 21:49:13,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,370ed304-1856-4d16-ae2a-9a4478fca167,حامد ودالنيل,5,التطبيق صار جميل وسهل مشكورين,ar,2026-06-27 15:12:05,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,a419cc32-960d-458f-b9a6-d728ae761e98,S AAD,5,جميل جدا,ar,2026-06-27 12:58:59,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,8cf68541-94ee-48a0-8bb0-36a6571b761d,عبدالله الأحمدي,1,لا تستطيع فتح حسابك وانت خارج المملكه .,ar,2026-06-27 09:37:22,0,False
Google Play,Alinma App (Main),com.alinma.retail.mobile.v4,https://play.google.com/store/apps/details?id=com.alinma.retail.mobile.v4,918f4ef5-5144-4fda-9c7c-8ddf57ed8be0,ابوبدر,1,التطبيق بعد التحديث ما يفتح معي يحولني على متصفح الانترنت ولا ادري ايش المشكله - جهازة جلكسي نوت 10 ارجوا حل هذه المشكله.,ar,2026-06-26 16:47:07,1,False
